Property Name,Pilot_Batch,Listing_ID,Building_Key,Property_Address,Room_Number,Property_Name,Listing_Name,ICS_URL,Listing_Status,Unit_Mode,Notes,Booking_Property_ID,Booking_Room_Type_ID,Booking_Room_Type_Name,Booking_Room_Key,Booking_Enabled,Booking_Notes
USC - Ali 1213/1215 W 24th St,Pilot1,AIR453,B1213H_W24TH,1213 1/2 W 24th St,Rm 1,1213 1/2 W 24th St - Rm 1,,,,LongTerm,,,,,,,
USC - Ali 1213/1215 W 24th St,Pilot1,AIR454,B1213H_W24TH,1213 1/2 W 24th St,Rm 2,1213 1/2 W 24th St - Rm 2,,,,LongTerm,,,,,,,
USC - Ali 1213/1215 W 24th St,Pilot1,AIR455,B1213H_W24TH,1213 1/2 W 24th St,Rm 3,1213 1/2 W 24th St - Rm 3,Private bed & Bath – Peaceful & Cozy Stay,https://www.airbnb.com/calendar/ical/1478979570241922435.ics?t=2a9c1336c7224075afcbf2063e7a90be,Active,Airbnb,,,,,,,
USC - Ali 1213/1215 W 24th St,Pilot1,AIR456,B1213H_W24TH,1213 1/2 W 24th St,Rm 4,1213 1/2 W 24th St - Rm 4,Private bed & Bath – In a Lovely 4 Beds Unit,https://www.airbnb.com/calendar/ical/1478982530822719608.ics?t=4f1bc27fd556496cac382ca75df07ec5,Active,Airbnb,,,,,,,
USC - TL 1224/1226 W 37th Pl,Pilot1,AIR439,B1224H_W37TH_PL,1224 1/2 W 37th Pl,Rm 201,1224 1/2 W 37th Pl - Rm 201,Lovely Gym|Private Bed & Bath|Mins Walk to USC,https://www.airbnb.com/calendar/ical/1634490948563023886.ics?t=ff424fa272c54a5aa504a5a7a483fb0b,Active,Airbnb,Unlisted,,,,,,
USC - TL 1224/1226 W 37th Pl,Pilot1,AIR440,B1224H_W37TH_PL,1224 1/2 W 37th Pl,Rm 202,1224 1/2 W 37th Pl - Rm 202,,,,LongTerm,,,,,,,
USC - TL 1224/1226 W 37th Pl,Pilot1,AIR441,B1224H_W37TH_PL,1224 1/2 W 37th Pl,Rm 203,1224 1/2 W 37th Pl - Rm 203,Private Bed & Bath – Cozy Stay Student Home USC,https://www.airbnb.com/calendar/ical/1594699200558491615.ics?t=dc7a47f6028648ceb1eaf6599bb2e05c,Active,Airbnb,,,,,,,
USC - TL 1224/1226 W 37th Pl,Pilot1,AIR442,B1224H_W37TH_PL,1224 1/2 W 37th Pl,Rm 301,1224 1/2 W 37th Pl - Rm 301,Private Bed & Bath – Cozy Stay Student Home USC301,https://www.airbnb.com/calendar/ical/1594578582431768778.ics?t=82490e296b5a4f8580000761ff1d7ad1,Active,Airbnb,,,,,,,
USC - TL 1224/1226 W 37th Pl,Pilot1,AIR443,B1224H_W37TH_PL,1224 1/2 W 37th Pl,Rm 302,1224 1/2 W 37th Pl - Rm 302,Cali Sunset View | Private Bed & bath @ USC,https://www.airbnb.com/calendar/ical/1635788870223272712.ics?t=7ae78ebebb654adbbdd070935584bc7c,Active,Airbnb,,,,,,,
USC - TL 1224/1226 W 37th Pl,Pilot1,AIR444,B1224H_W37TH_PL,1224 1/2 W 37th Pl,Rm 303,1224 1/2 W 37th Pl - Rm 303,Private Bed & Bath – Cozy Stay Student Home USC,https://www.airbnb.com/calendar/ical/1594718706293664227.ics?t=099eee52a971446aa61e8fd716f750f0,Active,Airbnb,,,,,,,
